STOP_FRISK_DATE_STOP_FRISK_TIME,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,STOP_LOCATION_PRECINCT,PHYSICAL_FORCE_USED_TOTAL,PHYSICAL_FORCE_USED_TF,AGE_CATEGORY,TOTAL_STOPS,SUSPECT_NOT_ARRESTED_FLAG
2021-11-18 08:04:00,CRIMINAL POSSESION OF WEAPON,1,0,1,0,0,0,0,0,22,MALE,BLACK,44,1,True,Twentyone-Twentyeight,1,0
2021-11-18 09:27:00,CRIMINAL POSSESION OF WEAPON,1,0,0,0,0,0,1,0,20,FEMALE,BLACK,101,1,True,Twenty and Under,1,0
2021-11-18 11:10:00,PETIT LARCENY,1,0,1,0,0,0,1,0,43,MALE,BLACK HISPANIC,19,2,True,Thirtyeight-Above,1,0
2021-11-18 12:28:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,UNKNOWN,MALE,BLACK,81,1,True,UNKNOWN,1,1
2021-11-18 13:36:00,GRAND LARCENY AUTO,1,0,1,0,0,0,1,0,21,MALE,BLACK,44,2,True,Twentyone-Twentyeight,1,0
2021-11-18 13:58:00,CRIMINAL POSSESION OF WEAPON,1,0,0,0,0,0,0,0,18,MALE,BLACK,81,0,False,Twenty and Under,1,0
2021-11-18 14:39:00,PETIT LARCENY,1,0,1,0,0,0,0,0,54,MALE,BLACK,28,1,True,Thirtyeight-Above,1,0
2021-11-18 15:14:00,GRAND LARCENY AUTO,0,1,0,0,0,0,0,0,23,MALE,BLACK,42,0,False,Twentyone-Twentyeight,1,1
2021-11-18 15:26:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,20,MALE,BLACK,50,1,True,Twenty and Under,1,1
2021-11-18 16:26:00,CRIMINAL POSSESION OF WEAPON,0,1,0,0,0,0,1,0,25,MALE,BLACK HISPANIC,44,1,True,Twentyone-Twentyeight,1,1
2021-11-18 16:26:00,CRIMINAL POSSESION OF WEAPON,0,1,0,0,0,0,1,0,25,MALE,BLACK,44,1,True,Twentyone-Twentyeight,1,1
2021-11-18 16:26:00,CRIMINAL POSSESION OF WEAPON,0,1,0,0,0,0,1,0,25,MALE,BLACK,44,1,True,Twentyone-Twentyeight,1,1
2021-11-18 16:33:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,UNKNOWN,MALE,BLACK,114,1,True,UNKNOWN,1,1
2021-11-18 17:47:00,CRIMINAL POSSESION OF WEAPON,1,0,0,0,0,1,1,0,16,MALE,BLACK,26,2,True,Twenty and Under,1,0
2021-11-18 20:25:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,37,MALE,BLACK,113,1,True,Twentyeight-Thirtyeight,1,1
2021-11-18 20:50:00,ROBBERY,1,0,1,0,0,0,1,0,22,MALE,BLACK,52,2,True,Twentyone-Twentyeight,1,0
2021-11-18 21:43:00,CRIMINAL POSSESION OF WEAPON,0,1,0,0,0,0,1,0,55,MALE,NATIVE,62,1,True,Thirtyeight-Above,1,1
2021-11-18 22:11:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,19,MALE,BLACK,75,1,True,Twenty and Under,1,1
2021-11-18 22:15:00,CRIMINAL POSSESION OF WEAPON,0,0,0,0,0,0,1,0,UNKNOWN,MALE,BLACK HISPANIC,30,1,True,UNKNOWN,1,1
2021-11-18 22:15:00,CRIMINAL POSSESION OF WEAPON,0,1,0,0,0,0,1,0,18,MALE,WHITE HISPANIC,30,1,True,Twenty and Under,1,1
2021-11-18 22:45:00,GRAND LARCENY AUTO,0,0,0,0,0,0,1,0,35,MALE,WHITE HISPANIC,26,1,True,Twentyeight-Thirtyeight,1,1
